corp_code,corp_name,rcept_no,induty2,tables,all6,매출액,매출원가,매출채권,매출총이익,영업이익,재고자산,recv_base,recv_full,recv_class
01327339,이화바이오메딕스,20200331002656,27,457,1,1,1,1,1,1,1,1,1,
00895693,태영정공,20220406001698,30,529,1,1,1,1,1,1,1,1,1,
01139664,리치빔,20220413000234,56,501,1,1,1,1,1,1,1,1,1,
01171749,백강개발,20200409000749,68,279,0,1,0,0,1,1,0,0,0,b_notInTable
00248220,송강산업,20220405001448,20,366,1,1,1,1,1,1,1,1,1,
00423946,우신레미콘,20220630000175,23,499,1,1,1,1,1,1,1,1,1,
00867122,대선이엔씨,20220331002978,42,702,1,1,1,1,1,1,1,1,1,
01609303,수서대토금융,20221005000105,66,212,0,1,1,0,0,0,0,0,0,c_absent
01287527,비이해피투게더,20200407002854,68,269,0,1,0,1,1,0,0,0,1,a_dict
00445106,대진휀스,20220413001823,25,518,1,1,1,1,1,1,1,1,1,
00678324,케이디종합건설,20220331002396,41,537,1,1,1,1,1,1,1,1,1,
00638520,봉천중앙시장,20220408001280,68,392,0,1,1,0,0,1,0,0,0,b_notInTable
00160728,한금,20220406001521,24,680,1,1,1,1,1,1,1,1,1,
01398124,천조,20200406001189,41,296,0,0,0,0,0,0,1,0,0,b_notInTable
00764311,무진기연,20220324000604,29,476,1,1,1,1,1,1,1,1,1,
00107792,남정개발,20220405000355,68,440,0,1,1,0,0,1,0,0,0,b_notInTable
00655651,에스엔지,20220407000103,46,464,1,1,1,1,1,1,1,1,1,
00615963,에이제이월드,20220412001718,28,423,1,1,1,1,1,1,1,1,1,
01498707,세한이엔씨,20210405002679,42,414,0,1,1,1,1,0,1,1,1,
00255512,원일약품,20220405001761,46,414,1,1,1,1,1,1,1,1,1,
01254538,효동건설,20220406002896,41,300,0,1,1,0,1,1,1,0,0,b_notInTable
01472666,메트로에디션,20220411003225,68,310,0,1,1,0,1,1,1,0,0,b_notInTable
00382269,아이파크아이앤콘스,20220401000179,41,835,1,1,1,1,1,1,1,1,1,
01227093,한국초저온평택,20220404000741,52,1055,1,1,1,1,1,1,1,1,1,
01011711,동양이지텍,20220411000515,28,432,0,1,1,1,1,0,1,1,1,
01225800,성지씨앤디,20220412000781,41,386,0,1,1,0,1,1,1,0,0,b_notInTable
01401330,디와이특강,20220405002759,46,301,1,1,1,1,1,1,1,0,1,a_dict
01301508,골드에스비건설,20220411001705,68,317,1,1,1,1,1,1,1,1,1,
00766027,이지테크,20220401001943,74,734,1,1,1,1,1,1,1,1,1,
01373620,삼성산업개발,20220404001686,41,387,1,1,1,1,1,1,1,1,1,
00165121,협성종합건업,20220413002584,41,644,0,1,1,0,1,1,1,0,0,b_notInTable
01584970,엘비30호피에프브이,20220913000208,68,245,0,0,1,0,0,1,0,0,0,c_absent
01326899,농업회사법인에코팜,20200407002139,01,358,1,1,1,1,1,1,1,1,1,
00611541,도광,20220413002080,26,465,1,1,1,1,1,1,1,1,1,
01010350,씨엔커뮤니케이션,20220412001742,47,434,0,1,1,1,1,0,1,1,1,
01028128,제일솔루텍,20220404001989,29,509,1,1,1,1,1,1,1,1,1,
00149008,에이티넘파트너스,20220405000817,68,853,0,1,1,1,0,1,0,1,1,
00173892,우성화학공업,20200401000914,68,339,0,1,0,0,0,1,0,0,0,b_notInTable
01142358,에치에스켐,20220406001183,20,528,1,1,1,1,1,1,1,1,1,
00784801,웨이브씨티개발,20220331000750,68,249,0,1,1,0,1,1,1,0,0,c_absent
01301553,인스텍,20200331001027,29,506,0,1,1,1,1,0,1,1,1,
01291919,금강이엠씨,20220408001042,25,522,1,1,1,1,1,1,1,1,1,
01367577,리안,20210413001683,45,51,0,0,0,0,0,0,0,0,0,c_absent
00963295,에스티유니타스,20220401000571,85,1149,0,1,1,1,0,1,1,1,1,
00918657,원근건설,20200407001119,41,394,0,1,1,1,1,1,0,1,1,
01152319,탑텍,20220406000140,25,418,0,1,1,1,1,0,1,1,1,
00970462,풀무원다논,20220407001263,10,741,0,1,1,1,1,0,1,1,1,
01029464,태양금속,20220407002950,46,478,1,1,1,1,1,1,1,1,1,
01228418,비에이치앤바이오,20220404002796,10,705,1,1,1,1,1,1,1,1,1,
01567618,영천,20220516001159,68,63,0,0,0,0,0,0,0,0,0,c_absent
01296835,스와니코코,20220404001944,46,837,1,1,1,1,1,1,1,1,1,
01148307,빅팟게임즈,20220404000310,58,72,0,0,0,0,0,0,0,0,0,c_absent
01242746,진선정밀,20220412000157,30,458,1,1,1,1,1,1,1,1,1,
00119715,두원정공,20220412001599,30,455,1,1,1,1,1,1,1,1,1,
01013038,다보코퍼레이션,20220329000979,46,472,1,1,1,1,1,1,1,1,1,
01030789,엠케이비개발,20220414000289,68,499,0,1,1,0,1,0,1,0,0,c_absent
01546299,동영와이케이,20220405000120,68,336,0,1,0,0,1,1,0,0,0,b_notInTable
01021824,동남건설,20220406000482,41,311,1,1,1,1,1,1,1,1,1,
00810090,후지유통,20220401002304,46,349,1,1,1,1,1,1,1,1,1,
01280630,디지털프론티어,20220331002104,26,752,1,1,1,1,1,1,1,1,1,
01285097,웰빙신선부천,20220407002763,47,366,1,1,1,1,1,1,1,1,1,
01242223,오케이씨,20220704000145,46,396,1,1,1,1,1,1,1,1,1,
01252248,은빛메탈,20220407000831,24,429,1,1,1,1,1,1,1,1,1,
00497303,아이엘케이,20220411003570,30,509,1,1,1,1,1,1,1,1,1,
00983606,에이아이지손해보험,20220404002414,65,1092,0,1,1,1,0,1,0,0,1,a_dict
00635338,황동산업,20220405000928,25,454,0,1,1,1,1,0,1,1,1,
01144985,유림기술,20220408002760,28,422,1,1,1,1,1,1,1,1,1,
01308361,지에이건설,20220407002176,41,385,0,1,1,1,1,1,0,1,1,
00446442,신세기건설,20220406000566,41,476,1,1,1,1,1,1,1,1,1,
00558738,에스엠에이엠씨투자대부,20200408002072,64,408,0,1,1,1,0,1,0,1,1,
01155802,세움케이앤이,20200625000231,45,49,0,0,0,0,0,0,0,0,0,c_absent
00227582,청호나이스,20220411002075,29,837,1,1,1,1,1,1,1,1,1,
01582316,일신캐스팅,20220412000812,30,359,1,1,1,1,1,1,1,1,1,
01024496,삼운개발,20220413000218,68,336,0,1,1,0,1,0,1,0,0,b_notInTable
01556083,운중디앤씨,20220411001066,41,296,0,0,0,0,0,1,1,0,0,b_notInTable
01367744,평림,20220414001171,31,192,0,1,1,1,1,0,1,1,1,
01473957,이글로벌시스템,20201014000050,58,303,0,1,1,1,0,1,0,1,1,
01308875,영남테크놀로지,20220404002741,30,447,0,1,1,1,1,1,0,1,1,
00605133,세진공업,20210414002279,30,322,0,1,1,1,1,0,1,1,1,
00574417,동양이화,20220408000117,22,572,1,1,1,1,1,1,1,1,1,
01302941,정훈,20220411002830,24,338,1,1,1,1,1,1,1,1,1,
01473337,대성자동포장기계,20210414002324,29,400,0,1,1,1,1,0,1,1,1,
01386110,동화이십일,20220329000483,46,390,1,1,1,1,1,1,1,1,1,
00917214,금창경판,20210409003062,29,392,1,1,1,1,1,1,1,1,1,
01440092,에이서비스코리아,20220414000855,55,328,0,1,1,1,0,0,1,1,1,
01150135,유정개발,20220406000181,23,461,1,1,1,1,1,1,1,1,1,
00563828,씨피씨개발,20200413000961,91,293,0,1,0,1,0,1,0,1,1,
00151553,청남관광,20220401002139,91,789,1,1,1,1,1,1,1,1,1,
01446388,미가방,20220317000937,10,556,1,1,1,1,1,1,1,1,1,
00264370,에스지프로퍼티즈,20200410001881,68,357,0,1,1,1,0,1,1,1,1,
00654324,비스코,20220408000496,31,408,1,1,1,1,1,1,1,1,1,
01222919,무진유통,20220401003174,47,362,0,1,1,0,1,1,1,0,0,b_notInTable
01376858,트레스제이엔씨,20220412001709,68,305,0,1,0,0,1,1,0,0,0,b_notInTable
01563843,에이비엠홀딩스,20220513001212,68,622,1,1,1,1,1,1,1,1,1,
01452422,휴비즈넷,20220406003012,75,332,0,1,1,1,1,1,0,1,1,
01467035,위워크코리아,20220412000111,68,728,0,1,1,1,0,0,0,1,1,
01452477,유안에이치알,20220331001820,75,313,0,1,1,1,0,1,0,1,1,
00341068,선영,20220404002934,22,503,1,1,1,1,1,1,1,1,1,
01132768,메가타워,20200331000848,68,399,0,1,1,0,1,0,1,0,0,b_notInTable
01566983,엠에스크린,20220414001163,13,52,0,0,0,0,0,0,0,0,0,c_absent
01546916,동인바이오텍,20220412000518,46,366,1,1,1,1,1,1,1,1,1,
01581663,제이투,20220412000526,41,389,1,1,1,1,1,1,1,1,1,
01013092,프라임에셋,20220331000484,66,533,0,1,1,0,0,1,0,0,0,b_notInTable
00221913,대흥기업,20220408001497,68,380,0,1,1,1,0,0,0,1,1,
01321159,남춘천산업단지개발,20220404000203,41,293,0,1,1,0,1,1,1,0,0,b_notInTable
00819213,대성기계공업,20220401000654,28,491,1,1,1,1,1,1,1,1,1,
01336805,친구,20200410001304,68,272,0,0,0,0,0,1,0,0,0,b_notInTable
01593154,에스케이어스온,20220331000818,05,644,1,1,1,1,1,1,1,1,1,
01471515,동아하우징,20220411000195,68,356,0,1,1,0,1,0,1,0,0,b_notInTable
00156752,이오에스티,20220331003713,25,577,1,1,1,1,1,1,1,1,1,
01551626,성현산업,20220408000827,31,275,1,1,1,1,1,1,1,1,1,
01578368,거림의료컨설팅,20220406001864,71,304,1,1,1,1,1,1,1,1,1,
01550344,엠아이티,20220413000983,26,471,1,1,1,1,1,1,1,1,1,
01579604,청우이엔씨,20220405001951,68,301,0,1,0,0,0,1,0,0,0,b_notInTable
01224731,디에스개발,20200408000072,68,242,0,0,0,0,0,0,0,0,0,c_absent
01454536,도영운수,20220413000035,49,383,0,1,1,1,1,0,0,1,1,
00811266,삼영중공업,20220404000910,29,350,1,1,1,1,1,1,1,1,1,
01592164,하버뷰17,20220405001588,68,268,1,1,1,1,1,1,1,0,1,a_dict
01583005,아모로워터,20220411002514,68,244,0,1,1,0,1,1,1,0,0,c_absent
00221904,에스아이플렉스,20220329000144,26,772,1,1,1,1,1,1,1,1,1,
01457621,신우철강,20220404001766,46,373,0,1,1,1,1,1,0,1,1,
01414413,흥산디앤씨,20210414000810,68,59,0,0,0,0,0,0,0,0,0,c_absent
01083453,코린스타,20220325000548,76,352,1,1,1,1,1,1,1,1,1,
00604295,두리화장품,20220407000770,20,529,1,1,1,1,1,1,1,1,1,
01537334,트렌비,20220412000975,47,528,0,1,1,0,1,1,1,0,0,b_notInTable
01469626,미래교통,20220412001646,49,294,0,1,1,0,1,1,0,0,0,b_notInTable
01450150,동양기전,20220408003147,29,493,1,1,1,1,1,1,1,1,1,
01086982,브루커코리아,20220408001218,46,459,1,1,1,1,1,1,1,1,1,
00646149,푸른당진지키미,20220406002176,41,320,0,1,1,0,0,1,0,0,0,c_absent
01407866,대광테크윈,20220411001562,30,452,1,1,1,1,1,1,1,0,1,a_dict
01499511,무림하우징,20210331002227,74,295,0,1,0,1,1,1,0,1,1,
01471959,신원,20220510000915,28,481,0,1,1,1,1,0,1,1,1,
01463446,아쉬세븐,20220413000799,20,53,0,0,0,0,0,0,0,0,0,c_absent
00967440,아마란스,20220405000421,20,461,1,1,1,1,1,1,1,1,1,
01537051,파이오니아상인,20220406001003,68,428,0,0,0,0,0,1,1,0,0,b_notInTable
01450682,세일로,20220401002797,75,435,1,1,1,1,1,1,1,1,1,
01518904,오드컨셉,20220405000600,62,412,0,1,1,1,0,0,0,1,1,
01230051,역삼파인프로젝트,20210414000597,68,283,0,1,1,0,1,1,1,0,0,b_notInTable
01471524,머스크컨트랙트로지스틱스코리아,20220331000532,46,466,0,1,1,1,1,1,0,1,1,
01355572,아이씨비,20220404000658,66,605,0,1,1,1,1,0,1,1,1,
00832603,신한에디피스,20220407000716,68,558,1,1,1,1,1,1,1,1,1,
01400076,한양리빙앤디자인,20200413000899,68,251,0,1,1,1,1,1,0,1,1,
01313761,웰리치아이앤디,20200403001855,46,340,0,1,1,1,1,0,1,1,1,
01380347,일광,20200414000314,30,458,1,1,1,1,1,1,1,1,1,
00156327,한광옵토,20210402002218,25,452,1,1,1,1,1,1,1,1,1,
00230939,코밴,20220412000452,63,402,1,1,1,1,1,1,1,1,1,
00351898,송옥개발,20220412000397,56,423,0,1,0,0,1,0,1,0,0,c_absent
00176127,구주제약,20220411000591,21,505,1,1,1,1,1,1,1,1,1,
01553688,에이지엘,20220411001063,52,358,0,1,1,0,1,1,0,0,0,b_notInTable
00488031,일본전기초자한국,20220405000737,23,443,1,1,1,1,1,1,1,1,1,
00881344,롯데송도쇼핑타운,20220331000379,68,626,1,1,1,1,1,1,1,1,1,
01445848,초록뱀푸드팜,20220407002726,46,858,1,1,1,1,1,1,1,1,1,
00520133,서울시메트로구호선,20220331000081,52,568,1,1,1,1,1,1,1,1,1,
01542752,대주금속,20220404002573,25,364,1,1,1,1,1,1,1,1,1,
01544495,케이티에스,20220408000718,75,284,0,1,1,1,1,1,0,1,1,
01379679,에스엘케이,20200311000469,22,381,1,1,1,1,1,1,1,1,1,
01307229,풍신레포츠,20220408000249,14,418,1,1,1,1,1,1,1,1,1,
01152249,시에이치디산업개발,20200413001853,41,263,0,1,0,0,1,1,0,0,0,c_absent
00522919,모빌랩,20200316000057,58,251,0,1,0,0,1,1,0,0,0,b_notInTable
01138188,서아통상,20200507000194,46,381,1,1,1,1,1,1,1,1,1,
01477926,대광산기,20220413001984,34,371,1,1,1,1,1,1,1,1,1,
01409262,온라인국제특송,20200904000505,52,60,0,0,0,0,0,0,0,0,0,c_absent
01377112,대한종건,20220414001804,41,653,0,1,1,1,1,1,0,1,1,
00528454,영덕풍력발전,20220329000605,35,455,0,1,1,1,1,1,0,1,1,
01434806,경기여객,20220405001273,49,529,1,1,1,1,1,1,1,1,1,
01543955,온천공원개발,20220331000895,41,304,0,1,0,0,1,0,1,0,0,b_notInTable
01455289,유모멘트,20220404001332,96,591,0,1,1,1,0,0,1,1,1,
01314821,디아이웨어,20220405001974,62,582,0,1,1,1,1,1,0,1,1,
01381054,버킷플레이스,20220414001759,47,628,0,1,1,1,0,1,1,1,1,
01506325,상우악기,20220406000982,33,370,1,1,1,1,1,1,1,1,1,
01548279,하이필,20220408002852,29,412,1,1,1,1,1,1,1,0,1,a_dict
00664710,신한디에스,20220404001814,62,1026,0,1,1,1,1,1,0,1,1,
00480385,비클시스템,20220405000395,26,611,1,1,1,1,1,1,1,1,1,
00941318,일경아이씨디,20220406001214,68,386,0,1,1,1,0,1,0,1,1,
01558629,에버레이드,20220413002134,21,413,1,1,1,1,1,1,1,1,1,
00253338,일레븐건설,20220407002802,41,601,1,1,1,1,1,1,1,1,1,
00123879,부림저축은행,20220401000476,64,658,0,1,1,0,0,1,0,0,0,c_absent
00204572,아산레미콘,20220401002451,23,460,1,1,1,1,1,1,1,1,1,
01327454,위드텍,20220401000568,30,348,1,1,1,1,1,1,1,1,1,
01224254,금성침대,20220406000366,32,475,1,1,1,1,1,1,1,1,1,
01359523,로젠치즈앤푸드,20220407000620,10,509,1,1,1,1,1,1,1,1,1,
00668947,태보산업,20220414000092,68,345,0,1,1,1,0,1,0,1,1,
01015285,페트로산업,20220404000127,22,465,1,1,1,1,1,1,1,1,1,
01603886,비스텔리젼스,20220411000695,58,378,0,1,1,1,0,0,0,1,1,
00971717,농업회사법인팜스월드지지피,20220405000578,01,1036,1,1,1,1,1,1,1,1,1,
01309768,일진기계,20200410001100,25,369,1,1,1,1,1,1,1,1,1,
00566199,유니테크,20220405001746,20,563,1,1,1,1,1,1,1,1,1,
00158556,한국알스트롬,20220412001204,17,683,1,1,1,1,1,1,1,1,1,
01226207,나주교통,20220411003137,49,333,0,1,1,0,1,1,0,0,0,b_notInTable
01459993,국민티에스,20220325000181,75,292,0,1,1,1,0,1,1,1,1,
00484169,현대기업,20220408002088,23,487,1,1,1,1,1,1,1,1,1,
01438158,대명엔컴,20220415000373,46,428,1,1,1,1,1,1,1,1,1,
01488843,한림건축씨엠종합건축사사무소,20220411002317,72,433,0,1,1,1,0,1,0,1,1,
01476981,골프존지디알아카데미,20220406002172,91,512,0,1,1,1,1,1,0,1,1,
01555589,던필드알파,20220408002483,14,468,1,1,1,1,1,1,1,1,1,
01165669,슈퍼홀릭,20210408000783,47,444,0,1,1,1,1,0,1,1,1,
01136056,폴맥,20210331002136,46,469,1,1,1,1,1,1,1,1,1,
01553660,우람산업,20220406002350,68,355,0,1,1,0,1,1,1,0,0,b_notInTable
01367656,한국지앤씨(GNC),20220331001892,68,544,0,1,1,0,1,1,1,0,0,b_notInTable
01081871,비에이월드,20220422000604,68,454,0,1,1,1,0,1,1,1,1,
